source,target,type,subtype,direction,source_text,source_pages,year,assoc_code
29876,65933,好友,與Y遊,M,人名權威資料（中央研究院歷史語言研究所）,9442,,277
30080,65933,好友,友,M,紀曉嵐年譜,210,,9
30080,33556,好友,友,M,人名權威資料（中央研究院歷史語言研究所）,143,,9
30080,33848,好友,友,M,人名權威資料（中央研究院歷史語言研究所）,143,,9
30080,65933,交往,聘Y主家之教席,P,紀曉嵐年譜,210,,214
30080,33848,好友,與Y遊,M,人名權威資料（中央研究院歷史語言研究所）,105,,277
30080,65933,好友,與Y遊,M,人名權威資料（中央研究院歷史語言研究所）,9442,,277
30192,34252,唱和,為Y作墓誌銘,A,,,1755,44
30192,33879,唱和,為Y作傳,A,,,1755,133
30192,10097,唱和,為Y之書、畫作跋,A,元人傳記資料索引,2654,,149
30192,17690,唱和,為Y之書、畫作跋,A,元人傳記資料索引,11347,,149
30192,34252,唱和,為Y作神道碑,A,明人傳記資料索引,9798,0,406
30192,10084,唱和,答Y書,A,元人傳記資料索引,2323,,431
30192,34926,唱和,為Y作壙記,A,明人傳記資料索引,1849,0,463
30192,10084,唱和,為Y之詩文作跋,A,元人傳記資料索引,2323,,469
